Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,567
design__inferred_latch__count,0
design__instance__count,96164
design__instance__area,458600
design__instance_unmapped__count,0
synthesis__check_error__count,2
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,168
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.005147273186594248
power__switching__total,0.001906210440210998
power__leakage__total,4.246064406743244E-7
power__total,0.007053908426314592
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.4026861180706676
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26141356486072975
timing__hold__ws__corner:nom_tt_025C_1v80,0.2984861331474968
timing__setup__ws__corner:nom_tt_025C_1v80,5.565331464309826
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.298486
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,10.939047
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,38
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,168
design__max_cap_violation__count__corner:nom_ss_100C_1v60,3
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.7676226538350046
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3801905564648899
timing__hold__ws__corner:nom_ss_100C_1v60,0.7193126298197697
timing__setup__ws__corner:nom_ss_100C_1v60,2.683114251167316
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.719313
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.683114
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,168
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.242635474135744
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.21339595972066344
timing__hold__ws__corner:nom_ff_n40C_1v95,0.15108847933747216
timing__setup__ws__corner:nom_ff_n40C_1v95,6.710527434777449
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.151088
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.242311
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,64
design__max_fanout_violation__count,168
design__max_cap_violation__count,4
clock__skew__worst_hold,-2.22616864576879
clock__skew__worst_setup,0.20632783565678964
timing__hold__ws,0.1494933108505763
timing__setup__ws,2.1350584127207584
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.149493
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.135058
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 688.615 699.335
design__core__bbox,5.52 10.88 682.64 688.16
design__io,543
design__die__area,481573
design__core__area,458600
design__instance__count__stdcell,25923
design__instance__area__stdcell,218247
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.475898
design__instance__utilization__stdcell,0.475898
design__rows,249
design__rows:unithd,249
design__sites,366528
design__sites:unithd,366528
design__instance__count__class:buffer,2383
design__instance__area__class:buffer,9373.99
design__instance__count__class:inverter,189
design__instance__area__class:inverter,711.933
design__instance__count__class:sequential_cell,2712
design__instance__area__class:sequential_cell,71248.3
design__instance__count__class:multi_input_combinational_cell,9121
design__instance__area__class:multi_input_combinational_cell,102688
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__count:STA-0366,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,70241
design__instance__area__class:fill_cell,240353
design__instance__count__class:tap_cell,6526
design__instance__area__class:tap_cell,8165.33
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,2
design__max_slew_violation__count__corner:max_ss_100C_1v60,64
design__max_fanout_violation__count__corner:max_ss_100C_1v60,168
design__max_cap_violation__count__corner:max_ss_100C_1v60,4
clock__skew__worst_hold__corner:max_ss_100C_1v60,-2.815422641378302
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.38717652402261793
timing__hold__ws__corner:max_ss_100C_1v60,0.7215623858204976
timing__setup__ws__corner:max_ss_100C_1v60,2.1350584127207584
timing__hold__tns__corner:max_ss_100C_1v60,0
timing__setup__tns__corner:max_ss_100C_1v60,0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.721562
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,2.135058
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,3512.6
design__instance__displacement__mean,0.132
design__instance__displacement__max,10.92
route__wirelength__estimated,542619
design__violations,0
design__instance__count__class:timing_repair_buffer,1392
design__instance__area__class:timing_repair_buffer,10682.7
flow__warnings__count:RSZ-0020,1
flow__warnings__count:RSZ-0065,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,533
design__instance__area__class:clock_buffer,7094.3
design__instance__count__class:clock_inverter,77
design__instance__area__class:clock_inverter,799.517
flow__warnings__count:CTS-0041,2
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,4
