Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,552
design__inferred_latch__count,0
design__instance__count,102048
design__instance__area,481775
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00937543623149395
power__switching__total,0.003221499966457486
power__leakage__total,4.569177463054075E-7
power__total,0.012597393244504929
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-2.185422127345027
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2574984742759653
timing__hold__ws__corner:nom_tt_025C_1v80,0.2652704797573585
timing__setup__ws__corner:nom_tt_025C_1v80,5.661896001187494
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.265270
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,10.759499
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,9
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-2.360819162538765
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3714202384115195
timing__hold__ws__corner:nom_ss_100C_1v60,0.6465921314717261
timing__setup__ws__corner:nom_ss_100C_1v60,1.7579680431175109
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.646592
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.757968
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-2.1027069569574293
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.21388490195453658
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12933787740228678
timing__setup__ws__corner:nom_ff_n40C_1v95,6.744741844828787
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.129338
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.082836
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,9
design__max_fanout_violation__count,0
design__max_cap_violation__count,1
clock__skew__worst_hold,-2.095555788208965
clock__skew__worst_setup,0.20432854597750089
timing__hold__ws,0.12854606631873017
timing__setup__ws,1.3810144529947657
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.128546
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.381014
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 705.775 716.495
design__core__bbox,5.52 10.88 700.12 704.48
design__io,15
design__die__area,505684
design__core__area,481775
design__instance__count__stdcell,25971
design__instance__area__stdcell,221897
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.460582
design__instance__utilization__stdcell,0.460582
design__rows,255
design__rows:unithd,255
design__sites,385050
design__sites:unithd,385050
design__instance__count__class:buffer,2443
design__instance__area__class:buffer,9482.84
design__instance__count__class:inverter,2912
design__instance__area__class:inverter,10935.5
design__instance__count__class:sequential_cell,2711
design__instance__area__class:sequential_cell,71222.1
design__instance__count__class:multi_input_combinational_cell,8901
design__instance__area__class:multi_input_combinational_cell,101893
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,76077
design__instance__area__class:fill_cell,259878
design__instance__count__class:tap_cell,6810
design__instance__area__class:tap_cell,8520.67
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,2
design__max_slew_violation__count__corner:max_ss_100C_1v60,9
design__max_fanout_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,1
clock__skew__worst_hold__corner:max_ss_100C_1v60,-2.376636288373333
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.38804560663087384
timing__hold__ws__corner:max_ss_100C_1v60,0.649072813868107
timing__setup__ws__corner:max_ss_100C_1v60,1.3810144529947657
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,0.0
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,0.0
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.649073
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,0
timing__setup_r2r__ws__corner:max_ss_100C_1v60,1.381014
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,0.46
design__instance__displacement__mean,0
design__instance__displacement__max,0.46
route__wirelength__estimated,563585
design__violations,0
design__instance__count__class:timing_repair_buffer,1523
design__instance__area__class:timing_repair_buffer,11693.7
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,534
design__instance__area__class:clock_buffer,7051.76
design__instance__count__class:clock_inverter,81
design__instance__area__class:clock_inverter,957.168
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1
global_route__vias,749
global_route__wirelength,968001
